request_id,customer_id,timestamp,message,channel
1,7681,2025-03-04 21:07:42,How can I change my shipping address?,email
2,4961,2025-03-07 17:55:43,Customer service was very rude to me.,chat
3,1254,2025-03-29 09:15:41,My package arrived damaged.,social_media
4,9229,2025-03-27 02:35:50,My package arrived damaged.,email
5,5583,2025-03-22 03:17:08,My delivery is late again!,phone
6,1518,2025-03-27 18:13:38,Social media support didn’t help me.,email
7,2683,2025-03-14 18:13:46,This is my third complaint this week!,phone
8,7435,2025-03-14 07:50:59,Customer service was very rude to me.,phone
9,8297,2025-03-12 09:04:21,Tracking number doesn’t work.,email
10,7260,2025-03-01 16:56:57,This is my third complaint this week!,phone
11,4711,2025-03-11 04:01:32,My package arrived damaged.,email
12,3240,2025-03-19 01:29:44,Customer service was very rude to me.,phone
13,8093,2025-03-12 20:21:13,How can I change my shipping address?,phone
14,2353,2025-03-03 06:47:11,My package arrived damaged.,phone
15,3177,2025-03-21 10:51:50,This is my third complaint this week!,phone
16,2660,2025-03-12 22:35:47,Tracking number doesn’t work.,email
17,4636,2025-03-24 06:09:56,This is my third complaint this week!,chat
18,4561,2025-03-18 02:53:52,The chat support is not responding.,social_media
19,9371,2025-03-14 07:03:07,Please cancel my order immediately.,phone
20,9930,2025-03-13 13:47:12,Tracking number doesn’t work.,social_media
21,3809,2025-03-09 17:33:46,How can I change my shipping address?,email
22,5370,2025-03-27 14:57:15,This is my third complaint this week!,email
23,6745,2025-03-23 07:11:26,I didn't receive my refund yet.,social_media
24,8103,2025-03-26 08:36:37,How can I speak to a human agent?,email
25,4370,2025-03-09 17:39:21,Social media support didn’t help me.,social_media
26,6534,2025-03-22 08:22:42,Why was I charged twice?,email
27,5615,2025-03-21 06:27:38,The chat support is not responding.,chat
28,5079,2025-03-01 15:26:41,Please cancel my order immediately.,email
29,6613,2025-03-26 09:29:13,This is my third complaint this week!,email
30,7319,2025-03-13 11:34:54,This is my third complaint this week!,social_media
31,8052,2025-03-18 12:00:36,Why was I charged twice?,email
